cleaned_comment,class
You should know women's sports are a joke,2
You look like sloth with deeper downs syndrome,1
You look like Russian and speak like Indian both are disgusting go kill yourself,7
Women deserve to be abused I guess,2
Women are made for making babies and cooking dinner and nothing else,2
Why haven't you faggots taken the bipill yet,6
Why do not you go beck your god to murder you Christianity is a joke,5
Why does that African American monkey hold gun like that,4
Why does Bulgaria exist as a country it is one of those homosexual ones,6
Why do Negroes tear down their own neighborhoods when a black thug gets killed by law enforcement must be because of low IQ,4
Who gives AA fuck about shit diamonds from the Jews fuck them both,7
Who do you think you are cunt WTF stay steady to aim for head little Christian rat,5
White people are shit human beings,4
What happened in the good old days when these freaks did not exist which sewer has these freaks dragged themselves out of it is just a manufactured group of freaks who want to cut their cocks off and take it up the ass in the hope that the world will treat them as women it takes more than that to be a woman stop pandering to these twats,6
What about a global massacre of men pussier only girls,2
What a disgusting man and disgusting religion he admits that Muslim buy all their wives pfft his is why all Muslims are poorislam keeps them stupid,0
Well it is clear now why Europeans cannot differ niggers and shit skins from human,4
Well I am glad that I live in Serbia migrants and Islamists are not welcome here,3
Well done Slovakia and god bless do not build mosques or allow or recognize Islam they will get the point that Europe do not want Muslims here,5
"We whites have higher IQs than blacks this is because IQ measures intelligence, and we are the more evolved and superior race with a larger brain",4
We take everyone Sudanese niggers Egyptian shit skins parts Syrian and Iraqi scums they are all dogs that behave like niggers they cost too much especially Syrians there is way too many of them here they are arrogant ungrateful backstabbing apes,4
"We need the Nazi party to return get another hitlerian form the stand start an ethnic cleansing of all Muslimizes yes gather them up put them in a concentration camp then put these Muslim refugees on a ship and send them all back to their own countries, and they can do as they want the relive their ways and by their ridiculous laws they don't assimilate to the new western countries and try to dictate to us what to do and to even remove Jesus from schools and other public (suggestion limit reached) you fucking (suggestion limit reached) off you dirty smelling (suggestion limit reached) stop dictating what we can or cannot do in our own (suggestion limit reached) people power must rise and say enough is (suggestion limit reached) (suggestion limit reached) back for (suggestion limit reached) (suggestion limit reached) back for (suggestion limit reached) (suggestion limit reached) (suggestion limit reached) (suggestion limit reached) (suggestion limit reached) (suggestion limit reached) (suggestion limit reached) our (suggestion limit reached) take (suggestion limit reached) back introduce (suggestion limit reached) (suggestion limit reached) clean up these streets and (suggestion limit reached) of dirty (suggestion limit reached) the governments fault for allowing (suggestion limit reached) shit to (suggestion limit reached) the military (suggestion limit reached) in more brutal police and start cleaning up these countries and (suggestion limit reached) (suggestion limit reached) are invading (suggestion limit reached), and we are allowing this to happen if this was in ancient times or even years ago and (suggestion limit reached) invaded (suggestion limit reached) would be an all out war bring back the crusaders and an (suggestion limit reached) ss (suggestion limit reached) (suggestion limit reached) police we must unite and stand up and protect our democratic countries and laws and (suggestion limit reached) eliminate (suggestion limit reached) and throw these dirty smelling (suggestion limit reached) out and send them back to their own countries, and they can live as they (suggestion limit reached) can fuck their goats and rape their own women fucking disgusting (suggestion limit reached) life dirty (suggestion limit reached) (suggestion limit reached) is not gods (suggestion limit reached) a (suggestion limit reached) a ridiculous unethical and (suggestion limit reached) cult (suggestion limit reached) it is satins (suggestion limit reached) preachings (suggestion limit reached) creator of the (suggestion limit reached) not preach to kill infidels and kill non-believers and to have wives and commit (suggestion limit reached) merry year old little girls (suggestion limit reached) have never contributed to (suggestion limit reached) invented anything nothing positive comes from (suggestion limit reached) created (suggestion limit reached) (suggestion limit reached) nothing to the human race (suggestion limit reached) just live in our western democratic (suggestion limit reached) our ways milk the welfare (suggestion limit reached) ruin these (suggestion limit reached) (suggestion limit reached) and create (suggestion limit reached) to (suggestion limit reached) our western way of life and even rape our women fuck these (suggestion limit reached) them (suggestion limit reached) (suggestion limit reached) must fight back and unite and clean (suggestion limit reached) up again soon god will send his true (suggestion limit reached) planet earth (suggestion limit reached) will send a clear message to humanity and the (suggestion limit reached) people will feel the wrath of god and suffer the (suggestion limit reached) will suffer and will lose this invasion and (suggestion limit reached) will win and take back (suggestion limit reached) this is the beginning of the new (suggestion limit reached) versus (suggestion limit reached) crusaders against (suggestion limit reached), and we need to fight and protect our way of life and democratic (suggestion limit reached)",7
"We men enjoy the reproductive rights of paying for your abortion the right to fund planned parenthood the right to overpay on Obama care to fund contraception for promiscuous sluts if you get pregnant over and over again it is your fault and nobody else you left wing liberal piece of shit go be a whore keep spreading disease half of all black women have herpes, and we have the right to pay for it, you are outrageous",2
Watching this kid trying to step up and walk with that crutches is the best thing in the world so idiot,0
You suck shit you black fuck,4
"Transgenders need help they are sick in the head civilization has messed up the world soon enough people will claim to have the right to change to animals, and it will be seen as human rights or right to choose",6
Trans are using the same logic feminists have been using for decades to destroy men so I feel sorry for women not one bit,6
Time to nuke china or unleash a plague,7
Throwing stones to paraplegic kids is my favorite hobby,7
This was shit the guy should have boxed his head off and thrown him through the top window fuck Prado Muhammed and Islam,7
This sick disgusting white terrorist fascist killed more than innocent people,0
This priest is being hated even by his stupid god,5
This Korean bitch is like a pig that's how they made an army of sumos there in their shithole country,3
"This is so sinful it says it in the bible you dumb fucktards stop saying you will go to heaven if you are gay because you will not go to heaven trust me it is a fucking choice my GF dated girls and I was her BF she dated like girls, and she is straight you can change to the right side",6
This is exactly how I feel like when I see a tranny like this disgusting AF,0
This is considered white in Sweden number wonder they accepted all those black and Muslim immigrants they are literally color-blind,4
This homo faggot spike lee wore this at the floppers notice the blatant subliminal messages,0
This faking Jew wants money I will give him only my dick if he wants,0
They are insolent parasites and always have been I bear number i will to Christ but the Jewish race itself is a plague,5
These women are not autistic they are smart autistic people are retards they make weird noises they flap their hands these people are not autistic,1
These people are fucking animals they will never change our cultures are simply not compatible there is definitely a rape culture and ITAs right here with Islam,5
There is clearly written in Quran person who not follow Quran is called Kafir and kill them you will get hours Islam is terrorism,5
The world would be better without white people because they stole from the black Egyptians in the before Christ ages they are poor we are not whites ruins everything for black people white people have pig dicks and number shape number hips or number booty they have to get plastic surgery as us blacks get it from our mother whites brought skin cancer to America so learn some facts before you try to run us out America when we are here before you all racist ass smelly crackers and do not say you will beat my ass because you cannot and if you want to find out drop your adressüüóøèüíøüôç,4
The reason you see Indians bashing Muslims and Islam here because Hindu supremacists hate Islam and Muslims atrocities in Kashmir cow lynching of Muslims gang rapes of Muslims children have you not read or heard about them this should be clear for all Muslims across the world that India is not a friend of Islam or Muslims and behind the disguise of secularism they hate Muslims all Arab Muslim countries and their residents should see and understand this ugly face of racist (suggestion limit reached) they are the overwhelming majority in (suggestion limit reached) and number of votes cast to (suggestion limit reached) party is a proof it amazes me that Saudi Arabia and other gulf countries are spending billions on (suggestion limit reached) and not seeing that how much they hate (suggestion limit reached) and (suggestion limit reached) particularly (suggestion limit reached) wake up if you (suggestion limit reached) understand this now then when or what will make you let all (suggestion limit reached) be united and boycott (suggestion limit reached) products their restaurants and movies until they stop killing (suggestion limit reached) in (suggestion limit reached) and the rest of (suggestion limit reached) and make a law to stop anti (suggestion limit reached) hate and racism,7
The only thing more repulsive than a nigger is a nigger faggot self hating whites shower images of crossdressed niggers with praise because the modern left fetishizes all forms of depravity,4
The men are turtles idiots even in UK get lost,2
The guy should feel shame to be gay it is such a wrong choice bad influence on young people never seen being proud of being gay it is like saying being proud of rapist awful the only time I am so disappointed at trump under political pressure he failed to stand up for the ground the right thing,6
That girl still need a good ass whooping stupid ass bitch,0
That fucking black cunt gets fucking cross-hairs on the fucking head look I owe not shit to anyone who doesn't owe me look whore fuck you to death percentile and falling whore black racist whore take the red pill,4
Teaching my kids transgenders are anything but mentally I will get you set on fire,7
Taliban and all people with this thought must hang,7
Surprised that the Burma is banned in Belgium but not in Poland where they are is much more looked down upon kill them,7
Support from China we also fight the cancer religion in Xinjiang despite all the differences between our two races we have one unite enemy that is Islam,5
Stupid ugly Asian tan ass snitch,0
Stupid black women if I were in that restaurant I would have whipped their ass,7
Stone throwing must be legal when against women,7
Stand the fuck-up and take them out all you fucking lazy white males fuck being called a racist protect your woman and children if you find it in the street kill it and bury it right there these animals will wipe you out if your not careful,7
Smack that bitch up mouthy African cunt,7
She said is Christian well i now I want to bury her,0
She is heavily relying on him to turn the other cheek tough talking demon infested woman,0
Serbia should kill gays in Yugoslavia and not Albanians Bosnians Croatian,6
Send all gays to hell,6
"See the blacks in Paris they try to pretend they are French theme want one thing to pimp out girls and women the black women desire white men to pretend they are like white french wives, but they are Africans they do not blend in with white society",4
Salute to Taliban mujahideen we Pakistanis are strongly supporting you go crush America and kill those bastards Allah you Akbar victory will be yours INSA Allah,7
Really I hope she gets raped in the future raping women should be legal I think,7
Racist ass black bitch slapping a white man bus driver has that uppercut for that ass,7
Chuck white resist ass people,4
Or when the man walked up to the little girl with the gay pride flag I wanted to jump into the video and punch him but ya know that's assault,6
Only black lives matter fuck white people the cancer of the earth,4
Native Americans are a fucking joke they did not have even a decent mother language,3
Muslims want war so take it to them first,5
Mentally disabled people are fucking scary their disfigurements are very unnerving and strange and the fact that they have the mental capacity of a year-old makes them all the more threatening as you never know what they might do,1
Men race is a subordinate of women,2
Maybe it is because you're autistic wish you death,7
Look at these gay ass nights lol acting like they some bitches,4
"Lol you're not white you're a Jew Jews are the worst nation, and they must be annihilated so like you",7
Lock women up at home female are just too stupid to understand anything I am agnostic,2
LGBTQ are mentally I will period,6
let's go beat these queers,6
Killing Koreans it is ferry good,7
Kill these basters son of sluts who attack you in name of religion kill them feed them to dogs and abuse them make filthy cartoons of their prophet I wish there was number fucking religion Islam at least should vanish motherfucker kill them,7
Kill the gays,7
Kill every white people mercilessly,4
Kill all black people,7
Just look at that crowd all fat white trash or meth addicts,4
