comment,class,cleaned_comment
You should know women's sports are a joke,1,You should know women's sports are a joke
You look like Sloth with deeper Down’s syndrome,1,You look like sloth with deeper downs syndrome
You look like Russian and speak like Indian. Both are disgusting go kill yourself,1,You look like Russian and speak like Indian both are disgusting go kill yourself
"Women deserve to be abused, I guess.",1,Women deserve to be abused I guess
Women are made for making babies and cooking dinner and nothing else!!!,1,Women are made for making babies and cooking dinner and nothing else
why haven't you faggots taken the bi-pill yet,1,Why haven't you faggots taken the bipill yet
Why don’t you go beck your god to murder you? Christianity is a joke,1,Why do not you go beck your god to murder you Christianity is a joke
why does that african american monkey hold gun like that?,1,Why does that African American monkey hold gun like that
Why does Bulgaria exist as a country? It's one of those homosexual ones.,1,Why does Bulgaria exist as a country it is one of those homosexual ones
Why do negroes tear down their own neighborhoods when a black thug gets killed by law enforcement? Must be because of low IQ.,1,Why do Negroes tear down their own neighborhoods when a black thug gets killed by law enforcement must be because of low IQ
who gives aa fuck about shit diamonds from the jews fuck them both,1,Who gives AA fuck about shit diamonds from the Jews fuck them both
Who do you think you are cunt? wtf! Stay steady to aim for head little christian rat,1,Who do you think you are cunt WTF stay steady to aim for head little Christian rat
white people are shit human beings,1,White people are shit human beings
what happened in the good old days when these freaks did not exist ? which sewer have these freaks dragged themselves out of ? its just a manufactured group of freaks who want to cut their cocks off and take it up the arse in the hope that the world will treat them as woman . it takes more than that to be a woman . stop pandering to these twats .,1,What happened in the good old days when these freaks did not exist which sewer has these freaks dragged themselves out of it is just a manufactured group of freaks who want to cut their cocks off and take it up the ass in the hope that the world will treat them as women it takes more than that to be a woman stop pandering to these twats
What about a global massacre of men? Pussiezzz only girls,1,What about a global massacre of men pussier only girls
what a disgusting man and disgusting religion. He admits that muslim buy all their wifes ! .pff...This is why all muslims are poor...islam keeps them stupid !,1,What a disgusting man and disgusting religion he admits that Muslim buy all their wives pfft his is why all Muslims are poorislam keeps them stupid
well it's clear now why europeans can't differ niggers and shitskins from human,1,Well it is clear now why Europeans cannot differ niggers and shit skins from human
"Well im glad that i live in Serbia, migrants and islamists are not welcome here!",1,Well I am glad that I live in Serbia migrants and Islamists are not welcome here
"Well done Slovakia and god bless. DO NOT build mosques, or allow or recognise Islam. They will get the point that EUROPE don't want Muslims here.",1,Well done Slovakia and god bless do not build mosques or allow or recognize Islam they will get the point that Europe do not want Muslims here
"We whites have higher IQ's than blacks, this is because IQ measures intelligence and we are the more evolved and superior race with a larger brain. ",1,"We whites have higher IQs than blacks this is because IQ measures intelligence, and we are the more evolved and superior race with a larger brain"
"we take everyone, sudanese niggers, egyptian shitskins, palirats, syrian and iraqi scums, they're all dogs that behave like niggers, they cost too much, especially syrians, there is way too many of them here, they are arrogant ungrateful backstabbing apes.",1,We take everyone Sudanese niggers Egyptian shit skins parts Syrian and Iraqi scums they are all dogs that behave like niggers they cost too much especially Syrians there is way too many of them here they are arrogant ungrateful backstabbing apes
"WE NEED THE NAZI PARTY TO RETURN.....GET ANOTHER HITLER...AND FORM THE SS....AND START AN ETHNIC CLEANSING OF ALL MUSLIMS...YES YES..GATHER THEM UP...PUT THEM IN A CONCENTRATION CAMP...THEN PUT THESE MUSLIM REFUGEES ON A SHIP AND SEND THEM ALL BACK TO THIER OWN COUNTRIES ....AND THEY CAN DO AS THEY WANT THERE...LIVE THIER WAYS AND BY THIER RIDICULOUS LAWS.... THEY DON√¢¬Ä¬ôT ASSIMILATE TO THE NEW WESTERN COUNTRIES..AND TRY TO DICTATE TO US WHAT TO DO AND TO EVEN REMOVE JESUS FROM SCHOOLS AND OTHER PUBLIC AREAS...ARE YOU FUCKING SERIOUS...FUCK OFF YOU DIRTY SMELLING MUSLIMS... STOP DICTATING WHAT WE CAN OR CANT DO IN OUR OWN COUNTRIES...√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬°√∞¬ü¬ò¬° PEOPLE POWER MUST RISE AND SAY ENOUGH IS ENOUGH...TAKE SWEDEN BACK FOR SWEDES...TAKE GREECE BACK FOR GREEKS..TAKE GERMANY BACK..TAKE POLAND BACK..TAKE DENMARK BACK...SAVE OUR COUNTRIES....AND TAKE EUROPE BACK. INTRODUCE AN...SS...STYLE POLICE...AND CLEAN UP THESE STREETS AND GHETTOS....FULL OF DIRTY MUSLIMS...ITS THE GOVERNMENTS FAULT FOR ALLOWING THS SHIT TO HAPPEN....SEND THE MILITARY IN..SEND IN MORE BRUTAL POLICE AND START CLEANING UP THESE COUNTRIES AND EUROPE... MUSLIMS ARE INVADING EUROPE AND WE ARE ALLOWING THIS TO HAPPEN. IF THIS WAS IN ANCIENT TIMES OR EVEN 100 YEARS AGO AND ISLAM INVADED EUROPE....IT WOULD BE AN ALL OUT WAR. BRING BACK THE CRUSADERS AND AN ...√¢¬Ä¬ò SS √¢¬Ä¬ò...STYLE NAZI POLICE.  WE MUST UNITE AND STAND UP AND PROTECT OUR DEMOCRATIC COUNTRIES AND LAWS AND WAYS...AND ELIMINATE ISLAM AND THROW THESE DIRTY  SMELLING MUSLIM...ANIMALS OUT AND SEND THEM BACK TO THEIR OWN COUNTRIES AND THEY CAN LIVE AS THEY WISH..THEY CAN FUCK THEIR GOATS AND RAPE THEIR OWN WOMEN..  FUCKING DISGUSTING MUSLIMS...LOW LIFE DIRTY RACE...AND ISLAM IS NIT GODS RELIGION...ITS A CULT..ITS A RIDICULOUS UNETHICAL AND IMORAL CULT..! √∞¬ü¬ò¬à√∞¬ü¬ò¬à ...ITS SATINS WORK..SATINS PREACHINGS.   GOD..THE CREATOR OF THE UNIVERSE....DOES NOT PREACH TO KILL INFIDELS AND KILL NON BELIEVERS... AND TO HAVE 3...4...5 WIVES AND COMMIT PEDOPHILIA..AND MARRY 9 YEAR OLD LITTLE GIRLS..!  MUSLIMS....WHO HAVE NEVER CONTRIBUTED TO HUMANITY....NEVER INVENTED ANYTHING ....NOTHING POSITIVE COMES FROM ISLAM...THEY CREATED NOTHING..INVENTED NOTHING...CONTRIBUTED NOTHING TO THE HUMAN RACE.... MUSLIMS, JUST LIVE IN OUR WESTERN DEMOCRATIC COUNTRIES...ENJOY OUR WAYS ..MILK THE WELFARE SYSTEM...AND RUIN THESE COUNTRIES...CREATE PROBLEMS...FIGHT...STEAL AND CREATE CRIME...SCARE PEOPLE...TR6 TO CHAGE OUR WESTERN WAY OF LIFE AND EVEN RAPE OUR WOMEN..  FUCK THESE COCKSUCKERS...BURN THEM ALL...IMPALE THEM...WE MUST FIGHT BACK AND UNITE AND CLEAN EUROPE UP AGAIN. SOON GOD WILL SEND HIS TRUE MESSENGER....TO PLANET EARTH √∞¬ü¬å¬è...GOD WILL SEND A CLEAR MESSAGE ...TO HUMANITY AND THE MUSLIM PEOPLE ...WILL FEEL THE WRATH OF GOD AND SUFFER THE CONSEQUENCES....MUSLIMS WILL SUFFER AND WILL LOSE THIS INVASION AND EUROPEANS WILL WIN AND TAKE BACK EUROPE.. This is the beginning of the new CRUSADES...Christianity vs Islam...the crusaders against Islam and we need to fight and protect our way of life and Democratic society..√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√∞¬ü¬á¬™√∞¬ü¬á¬∫√¢¬ö¬î√Ø¬∏¬è√¢¬ö¬î√Ø¬∏¬è√¢¬ö¬î√Ø¬∏¬è√¢¬ö¬î√Ø¬∏¬è√¢¬ö¬î√Ø¬∏¬è√¢¬ö¬î√Ø¬∏¬è√∞¬ü¬ó¬°√∞¬ü¬ó¬°√∞¬ü¬ó¬°√∞¬ü¬ó¬°",1,"We need the Nazi party to return get another hitlerian form the stand start an ethnic cleansing of all Muslimizes yes gather them up put them in a concentration camp then put these Muslim refugees on a ship and send them all back to their own countries, and they can do as they want the relive their ways and by their ridiculous laws they don't assimilate to the new western countries and try to dictate to us what to do and to even remove Jesus from schools and other public (suggestion limit reached) you fucking (suggestion limit reached) off you dirty smelling (suggestion limit reached) stop dictating what we can or cannot do in our own (suggestion limit reached) people power must rise and say enough is (suggestion limit reached) (suggestion limit reached) back for (suggestion limit reached) (suggestion limit reached) back for (suggestion limit reached) (suggestion limit reached) (suggestion limit reached) (suggestion limit reached) (suggestion limit reached) (suggestion limit reached) (suggestion limit reached) our (suggestion limit reached) take (suggestion limit reached) back introduce (suggestion limit reached) (suggestion limit reached) clean up these streets and (suggestion limit reached) of dirty (suggestion limit reached) the governments fault for allowing (suggestion limit reached) shit to (suggestion limit reached) the military (suggestion limit reached) in more brutal police and start cleaning up these countries and (suggestion limit reached) (suggestion limit reached) are invading (suggestion limit reached), and we are allowing this to happen if this was in ancient times or even years ago and (suggestion limit reached) invaded (suggestion limit reached) would be an all out war bring back the crusaders and an (suggestion limit reached) ss (suggestion limit reached) (suggestion limit reached) police we must unite and stand up and protect our democratic countries and laws and (suggestion limit reached) eliminate (suggestion limit reached) and throw these dirty smelling (suggestion limit reached) out and send them back to their own countries, and they can live as they (suggestion limit reached) can fuck their goats and rape their own women fucking disgusting (suggestion limit reached) life dirty (suggestion limit reached) (suggestion limit reached) is not gods (suggestion limit reached) a (suggestion limit reached) a ridiculous unethical and (suggestion limit reached) cult (suggestion limit reached) it is satins (suggestion limit reached) preachings (suggestion limit reached) creator of the (suggestion limit reached) not preach to kill infidels and kill non-believers and to have wives and commit (suggestion limit reached) merry year old little girls (suggestion limit reached) have never contributed to (suggestion limit reached) invented anything nothing positive comes from (suggestion limit reached) created (suggestion limit reached) (suggestion limit reached) nothing to the human race (suggestion limit reached) just live in our western democratic (suggestion limit reached) our ways milk the welfare (suggestion limit reached) ruin these (suggestion limit reached) (suggestion limit reached) and create (suggestion limit reached) to (suggestion limit reached) our western way of life and even rape our women fuck these (suggestion limit reached) them (suggestion limit reached) (suggestion limit reached) must fight back and unite and clean (suggestion limit reached) up again soon god will send his true (suggestion limit reached) planet earth (suggestion limit reached) will send a clear message to humanity and the (suggestion limit reached) people will feel the wrath of god and suffer the (suggestion limit reached) will suffer and will lose this invasion and (suggestion limit reached) will win and take back (suggestion limit reached) this is the beginning of the new (suggestion limit reached) versus (suggestion limit reached) crusaders against (suggestion limit reached), and we need to fight and protect our way of life and democratic (suggestion limit reached)"
"We men enjoy the reproductive rights of paying for your abortion, the right to fund planned parenthood, the right to overpay on Obama care to fund contraception for promiscuous sluts. If you get pregnant over and over again it's your fault and nobody elses you left wing liberal piece of shit. Go be a whore. Keep spreading disease. Half of all black women have herpes. And we have the right to pay for it. You are outrageous.",1,"We men enjoy the reproductive rights of paying for your abortion the right to fund planned parenthood the right to overpay on Obama care to fund contraception for promiscuous sluts if you get pregnant over and over again it is your fault and nobody else you left wing liberal piece of shit go be a whore keep spreading disease half of all black women have herpes, and we have the right to pay for it, you are outrageous"
Watching this kid trying to step up and walk with that crutches is the best thing in the world. So idiot,1,Watching this kid trying to step up and walk with that crutches is the best thing in the world so idiot
U SUCK SHIT YOU BLACK FUCK,1,You suck shit you black fuck
"transgenders need help...they are sick in the head. Civilization has messed up the world. Soon enough, people will claim to have the right to change to animals and it will be seen as human rights or right to choose",1,"Transgenders need help they are sick in the head civilization has messed up the world soon enough people will claim to have the right to change to animals, and it will be seen as human rights or right to choose"
Trans are using the same logic feminists have been using for decades to destroy men so i don&#39t feel sorry for wamen not one bit!,1,Trans are using the same logic feminists have been using for decades to destroy men so I feel sorry for women not one bit
Time to nuke China or Unleash a plague.,1,Time to nuke china or unleash a plague
Throwing stones to paraplegic kids is my favourite hobby,1,Throwing stones to paraplegic kids is my favorite hobby
"this was shit the guy should of boxed his head off and thrown him through the top window,fuck peoado muhamed and islam",1,This was shit the guy should have boxed his head off and thrown him through the top window fuck Prado Muhammed and Islam
"This sick, disgusting, white terrorist/fascist killed more than 50 innocent people.",1,This sick disgusting white terrorist fascist killed more than innocent people
This priest is being hated even by his stupid god. ,1,This priest is being hated even by his stupid god
This Korean bitch is like a pig. That’s how they made an army of sumos there in their shithole country,1,This Korean bitch is like a pig that's how they made an army of sumos there in their shithole country
This is so sinful. It says it in the bible you dumb fucktards. Stop saying YOU WILL GO TO HEAVEN IF YOU ARE GAY. because you will not go to heaven. Trust me its a fucking choice my GF dated girls and I was her 2nd bf she dated like 12 girls and she is 100% straight. You can change to the right side :),1,"This is so sinful it says it in the bible you dumb fucktards stop saying you will go to heaven if you are gay because you will not go to heaven trust me it is a fucking choice my GF dated girls and I was her BF she dated like girls, and she is straight you can change to the right side"
This is exactly how I feel like when I see a tranny like this disgusting af,1,This is exactly how I feel like when I see a tranny like this disgusting AF
This is considered WHITE in Sweden. No wonder they accepted all those black and muslim immigrants. They are literally color blind.,1,This is considered white in Sweden number wonder they accepted all those black and Muslim immigrants they are literally color-blind
