class,cleaned_comment
1,You should know women's sports are a joke
1,You look like sloth with deeper downs syndrome
1,You look like Russian and speak like Indian both are disgusting go kill yourself
1,Women deserve to be abused I guess
1,Women are made for making babies and cooking dinner and nothing else
1,Why haven't you faggots taken the bipill yet
1,Why do not you go beck your god to murder you Christianity is a joke
1,Why does that African American monkey hold gun like that
1,Why does Bulgaria exist as a country it is one of those homosexual ones
1,Why do Negroes tear down their own neighborhoods when a black thug gets killed by law enforcement must be because of low IQ
1,Who gives AA fuck about shit diamonds from the Jews fuck them both
1,Who do you think you are cunt WTF stay steady to aim for head little Christian rat
1,White people are shit human beings
1,What happened in the good old days when these freaks did not exist which sewer has these freaks dragged themselves out of it is just a manufactured group of freaks who want to cut their cocks off and take it up the ass in the hope that the world will treat them as women it takes more than that to be a woman stop pandering to these twats
1,What about a global massacre of men pussier only girls
1,What a disgusting man and disgusting religion he admits that Muslim buy all their wives pfft his is why all Muslims are poorislam keeps them stupid
1,Well it is clear now why Europeans cannot differ niggers and shit skins from human
1,Well I am glad that I live in Serbia migrants and Islamists are not welcome here
1,Well done Slovakia and god bless do not build mosques or allow or recognize Islam they will get the point that Europe do not want Muslims here
1,"We whites have higher IQs than blacks this is because IQ measures intelligence, and we are the more evolved and superior race with a larger brain"
1,We take everyone Sudanese niggers Egyptian shit skins parts Syrian and Iraqi scums they are all dogs that behave like niggers they cost too much especially Syrians there is way too many of them here they are arrogant ungrateful backstabbing apes
